Experiment,Number of Tasks,Task 2 Response Probability,Inter-task SOA is Predictable,Inter-task SOA,Distractor SOA,Task 1 CSI,Task 2 CSI,Switch Rate,Trial Transition Type,Stimulus-Stimulus Congruency,Stimulus-Response Congruency,Response Set Overlap,Task 1 Stimulus-Response Mapping,Task 2 Stimulus-Response Mapping,Task 1 Cue Type,Task 2 Cue Type,RSI is Predictable,RSI,Task 1 Difficulty,Task 2 Difficulty,Task 1 Type,Task 2 Type,Intra-Trial Task Relationship,Notes,Super_Experiment_Mapping_Notes
Jersild 1927 Controlled Association Switch Trials,1,0,N/A,N/A,N/A,0,0,100%,Switch,N/A,N/A,Disjoint - Category (Same Modality),Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Name Opposite,Name Object,Different,,
"Jersild 1927 Controlled Association + Calculation, Pure Trials",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Name Opposite/Subtract 3,N/A,N/A,,
"Jersild 1927 Controlled Association + Calculation, Switch Trials",1,0,N/A,N/A,N/A,0,0,100%,Switch,N/A,N/A,Disjoint - Category (Same Modality),Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Name Opposite,Subtract 3,Different,,
"Jersild 1927 Color Naming + Form Naming, Pure Trials",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,Not Specified,2,N/A,Name Color/Name Form,N/A,N/A,,
"Jersild 1927 Color Naming + Form Naming, Switch Trials",1,0,N/A,N/A,N/A,0,0,100%,Switch,N/A,N/A,Disjoint - Category (Same Modality),Compatible,Compatible,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Name Color,Name Form,Different,,
Hazeltine et al. 2006 Exp 1a,2,1,Yes,0,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality (Non-Standard),Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,500,3,3,Auditory Choice RT,Word Categorization,Different,Visual/Vocal and Auditory/Manual S-R Pairings,"{""convert_overrides"":{""t1_stim_duration"":300,""t2_stim_duration"":5000,""t2_cue_go_duration"":5000}}"
Hazeltine et al. 2006 Exp 1b,2,1,Yes,0,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality (Standard),Arbitrary,Compatible,None/Implicit,None/Implicit,Yes,500,3,3,Word Categorization,Auditory Choice RT,Different,"Visual/Manual and Auditory/Vocal S-R Pairings, previously trained in 1a","{""convert_overrides"":{""t1_stim_duration"":5000,""t1_cue_go_duration"":5000,""t2_stim_duration"":300}}"
Hazeltine et al. 2006 Exp 2a (Standard RSO),2,1,Yes,0,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality (Standard),Arbitrary,Compatible,None/Implicit,None/Implicit,Yes,500,3,3,Word Categorization (Manual),Auditory Choice RT (Vocal),Different,,"{""convert_overrides"":{""t1_stim_duration"":5000,""t1_cue_go_duration"":5000,""t2_stim_duration"":300}}"
Hazeltine et al. 2006 Exp 2a (Non-Standard RSO),2,1,Yes,0,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality (Non-Standard),Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,500,3,3,Auditory Choice RT (Manual),Word Categorization (Vocal),Different,,"{""convert_overrides"":{""t1_stim_duration"":300,""t2_stim_duration"":5000,""t2_cue_go_duration"":5000}}"
Hazeltine et al. 2006 Exp 2b (Standard RSO),2,1,Yes,50,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality (Standard),Arbitrary,Compatible,None/Implicit,None/Implicit,Yes,500,3,3,Word Categorization (Manual),Auditory Choice RT (Vocal),Different,"Exp 2b had mixed block, so this row and the following row were both represented in a single block, where the first half presented the word categorization task first and the second half presented the auditory choice task first.","{""convert_overrides"":{""t1_stim_duration"":5000,""t1_cue_go_duration"":5000,""t2_stim_duration"":300}}"
Hazeltine et al. 2006 Exp 2b (Non-Standard RSO),2,1,Yes,50,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality (Non-Standard),Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,500,3,3,Auditory Choice RT (Manual),Word Categorization (Vocal),Different,,"{""convert_overrides"":{""t1_stim_duration"":300,""t2_stim_duration"":5000,""t2_cue_go_duration"":5000}}"
Hazeltine et al. 2006 Exp 3,2,1,Yes,0,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality (Standard),Arbitrary,Compatible,None/Implicit,None/Implicit,Yes,500,3,4,Word Categorization (Manual),Auditory Quality RT (Vocal),Different,"They made the auditory task from a tone discrimination to a quality discrimination, making it harder","{""convert_overrides"":{""t1_stim_duration"":5000,""t1_cue_go_duration"":5000,""t2_stim_duration"":300}}"
Rogers & Monsell 1995 Experiment 1 Switch Trials No Crosstalk,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,RSI was manipulated - this isn't possible in the Super Experiment,"{""block_id"": ""Rogers & Monsell 1995 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 1 Switch Trials Congruent,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,RSI was manipulated - this isn't possible in the Super Experiment,"{""block_id"": ""Rogers & Monsell 1995 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 1 Switch Trials Incongruent,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,RSI was manipulated - this isn't possible in the Super Experiment,"{""block_id"": ""Rogers & Monsell 1995 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 1 Repeat Trials No Crosstalk,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,RSI was manipulated - this isn't possible in the Super Experiment,"{""block_id"": ""Rogers & Monsell 1995 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 1 Repeat Trials Congruent,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,RSI was manipulated - this isn't possible in the Super Experiment,"{""block_id"": ""Rogers & Monsell 1995 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 1 Repeat Trials Incongruent,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,RSI was manipulated - this isn't possible in the Super Experiment,"{""block_id"": ""Rogers & Monsell 1995 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 2 Switch Trials No Crosstalk,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,675,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,"RSI was random across trials, showing that when it's unpredictable that switch costs aren't reduced.","{""block_id"": ""Rogers & Monsell 1995 Experiment 2"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB"",""ITI_distribution"":""uniform"",""ITI_range"":[150,1200]}}"
Rogers & Monsell 1995 Experiment 2 Switch Trials Congruent,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,675,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,"RSI was random across trials, showing that when it's unpredictable that switch costs aren't reduced.","{""block_id"": ""Rogers & Monsell 1995 Experiment 2"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 2 Switch Trials Incongruent,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,675,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,"RSI was random across trials, showing that when it's unpredictable that switch costs aren't reduced.","{""block_id"": ""Rogers & Monsell 1995 Experiment 2"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 2 Repeat Trials No Crosstalk,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,675,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,"RSI was random across trials, showing that when it's unpredictable that switch costs aren't reduced.","{""block_id"": ""Rogers & Monsell 1995 Experiment 2"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 2 Repeat Trials Congruent,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,675,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,"RSI was random across trials, showing that when it's unpredictable that switch costs aren't reduced.","{""block_id"": ""Rogers & Monsell 1995 Experiment 2"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 2 Repeat Trials Incongruent,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,675,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,"RSI was random across trials, showing that when it's unpredictable that switch costs aren't reduced.","{""block_id"": ""Rogers & Monsell 1995 Experiment 2"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (150ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (150ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 3 (150ms RSI congruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (150ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (150ms RSI incongruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (150ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (150ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (150ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (150ms RSI Congruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (150ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (150ms RSI Incongruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (150ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (300ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,300,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (300ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 3 (300ms RSI Congruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,300,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (300ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (300ms RSI Incongruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,300,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (300ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (300ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,300,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (300ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (300ms RSI Congruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,300,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (300ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (300ms RSI Incongruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,300,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (300ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (450ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (450ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 3 (450ms RSI Congruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (450ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (450ms RSI Incongruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (450ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (450ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (450ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (450ms RSI Congruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (450ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (450ms RSI Incongruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (450ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (600ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,600,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (600ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 3 (600ms RSI Congruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,600,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (600ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (600ms RSI Incongruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,600,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (600ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (600ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,600,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (600ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (600ms RSI Congruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,600,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (600ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (600ms RSI Incongruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,600,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (600ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (1200ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1200,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (1200ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 3 (1200ms RSI Congruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1200,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (1200ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (1200ms RSI Incongruent) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1200,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (1200ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
